job,seed,policy,bins,unplaced,utilisation,runtimeMs,nfpMs,scoreLoopsMs,apiMs
hard-06,3,ga,3,0,0.5452269170579029,2137.1404909999983,1921.3015499999456,6.057092000497505,0
hard-06,4,classic,4,0,0.4089201877934272,215.65708500001347,196.37318699999014,0.9544670000032056,0
hard-06,4,contact,3,0,0.5452269170579029,241.8682919999992,205.60326999999234,3.244419999944512,0
hard-06,4,ga,3,0,0.5452269170579029,2145.8605589999934,1943.3213979999418,6.047091999935219,0
hard-06,5,classic,3,0,0.5452269170579029,227.02229999998235,203.95666500000516,1.2243660000676755,0
hard-06,5,contact,3,0,0.5452269170579029,248.92560000001686,208.44055199998547,3.6375289999705274,0
hard-06,5,ga,3,0,0.5452269170579029,2078.3631349999923,1870.1510280000512,6.291368000092916,0
hard-07,1,classic,4,0,0.463691875922619,1862.8688120000006,1792.0546179999947,4.464899999817135,0
hard-07,1,contact,4,0,0.463691875922619,1871.3808990000107,1794.5619149999984,3.843949000001885,0
hard-07,1,ga,4,0,0.463691875922619,2226.549034000025,2102.659467999998,3.620728000125382,0
hard-07,2,classic,4,0,0.463691875922619,1789.7559039999906,1717.5669139999954,2.4475770001590718,0
hard-07,2,contact,4,0,0.463691875922619,1864.2003970000078,1758.8344769999967,5.971821999992244,0
hard-07,2,ga,4,0,0.463691875922619,2055.275075999991,1931.3291809999791,3.2161029999842867,0
hard-07,3,classic,4,0,0.463691875922619,1724.6894319999847,1666.4468449999986,2.6040450000728015,0
hard-07,3,contact,4,0,0.463691875922619,1722.677606000012,1639.0834080000059,4.729733999993186,0
hard-07,3,ga,4,0,0.463691875922619,2376.3670920000004,2246.360026999988,3.7555800000263844,0
hard-07,4,classic,4,0,0.463691875922619,1676.417398999998,1621.8699060000072,2.7390509999531787,0
hard-07,4,contact,4,0,0.463691875922619,1815.9264130000083,1740.4848390000116,3.7709399999293964,0
hard-07,4,ga,4,0,0.463691875922619,2533.8347129999893,2413.4798550000123,3.816675000038231,0
hard-07,5,classic,4,0,0.463691875922619,1783.8492729999998,1717.760473000002,3.5814780000946485,0
hard-07,5,contact,4,0,0.463691875922619,1710.0559270000085,1636.4751310000138,4.006670000002487,0
hard-07,5,ga,4,0,0.463691875922619,2966.3347030000004,2850.4255500000145,4.810085000062827,0
hard-08,1,classic,4,0,0.5233741575096339,3874.157448999991,3759.4805309999792,3.399219999933848,0
hard-08,1,contact,4,0,0.5233741575096339,3737.0671750000038,3608.1364070000127,5.092032000044128,0
hard-08,1,ga,4,0,0.5233741575096339,3599.844726999989,3491.3271810000006,2.9646540000394452,0
hard-08,2,classic,4,0,0.5233741575096339,3718.580404999986,3616.3389139999927,3.9837339999794494,0
hard-08,2,contact,4,0,0.5233741575096339,3789.9358869999996,3668.8397070000065,4.809129000030225,0
hard-08,2,ga,4,0,0.5233741575096339,3811.9474769999797,3696.4447110000183,4.094933000131277,0
hard-08,3,classic,4,0,0.5233741575096339,3709.3869479999994,3609.7716700000165,3.7162880001415033,0
hard-08,3,contact,4,0,0.5233741575096339,3797.2275859999936,3658.7035289999912,6.630796000070404,0
hard-08,3,ga,4,0,0.5233741575096339,3695.0988929999876,3587.0560849999893,3.5170029999280814,0
hard-08,4,classic,4,0,0.5233741575096339,3682.926024000015,3592.1859089999925,3.788853999954881,0
hard-08,4,contact,4,0,0.5233741575096339,3926.322899999999,3802.5544200000004,6.741323999915039,0
hard-08,4,ga,4,0,0.5233741575096339,3949.4961189999885,3850.4415220000083,3.65657199989073,0
